,completeness,repeat,dms_id,pred_score,envision_pred,fdms_pred,lasso_pred,row-mean_pred,wu2019_pred,vefill-min_pred,vefill-max_pred,vefill-min_pears_dyn_mean,vefill-max_pears_dyn_mean,5nn-blosum100_pears_any,5nn-blosum100_pears_3to5,5nn-blosum100_pears_5,5nn-functional_pears_any,5nn-functional_pears_3to5,5nn-functional_pears_5
309,0.6,0,urn:mavedb:00000045-k-1,0.7454510895,0.7426722319,0.1997586665,0.6065834783,0.3419248614,0.4503011724,0.8012591286,0.8496345946,0.7986142567,0.8531424133,0.7342117266,0.7342117266,0.7456894898,0.7873408176,0.7873408176,0.7962739313
911,0.6,0,urn:mavedb:00000045-l-1,0.5921287196,0.6049483513,0.5799511206,0.6163702635,0.2792107569,0.3254034934,0.5702364679,0.714206135,0.5613055657,0.7079322549,0.6083556105,0.6083556105,0.5982444233,0.6655935504,0.6655935504,0.656707362
24,0.6,0,urn:mavedb:00000047-a-1,0.6276510013,0.5563707181,0.5595773867,0.5682579188,0.451813172,0.5298585749,0.622113982,,0.5970323696,,0.4298142746,0.4298142746,0.4298142746,0.5717742133,0.5717742133,0.5717742133
1214,0.6,0,urn:mavedb:00000047-b-1,0.5416654989,0.4985932647,0.4493105499,0.4965335505,0.3901506024,0.4430175523,0.4813796255,,0.4331624779,,0.3568345229,0.3568345229,0.3556631702,0.5623218559,0.5623218559,0.5648308858
991,0.6,0,urn:mavedb:00000047-c-1,0.6066064401,0.5943245185,0.4943875068,0.4807862425,0.3180858395,0.4811823946,0.5523564689,,0.5060287615,,0.3750480737,0.3750480737,0.3750480737,0.5069943307,0.5069943307,0.5069943307
754,0.6,0,urn:mavedb:00000048-a-1,0.5845225544,0.5469619557,0.4913866811,0.5339997613,0.4380424976,0.4713215261,0.6216350955,,0.6018412357,,0.3523744088,0.3523744088,0.3523744088,0.5189047025,0.5189047025,0.5189047025
553,0.6,0,urn:mavedb:00000048-b-1,0.414939288,0.3872445751,0.3393195478,0.3741362966,0.3278289978,0.3141433711,0.4842251924,,0.4376884256,,0.297469951,0.297469951,0.297469951,0.4055074382,0.4055074382,0.4055074382
295,0.6,0,urn:mavedb:00000048-c-1,0.3409931302,0.3128874053,0.2579325811,0.2370513761,0.2768697459,0.2914619944,0.5745921468,,0.5439583168,,0.1994366398,0.1994366398,0.1994366398,0.3993593245,0.3993593245,0.3993593245
1281,0.6,0,urn:mavedb:00000054-a-1,0.7794410464,0.7389687662,0.7138524684,0.7184283078,0.6364021027,0.6967256774,0.8151765021,0.8578597691,0.8082860129,0.8438521867,0.635494192,0.6402740055,0.642902196,0.7126287973,0.7172876703,0.7212594097
786,0.6,0,urn:mavedb:00000057-a-1,0.8425418394,0.8126397709,0.8159737872,0.7923204804,0.7287551718,0.7559889061,0.7719910175,0.7032596394,0.7647279988,0.6937621193,0.7539479778,0.7539479778,0.7539479778,0.7734606513,0.7734606513,0.7734606513
586,0.6,0,urn:mavedb:00000057-b-1,0.6931148916,0.6610942114,0.6825580824,0.628615167,0.7132389752,0.6431681803,0.7523414819,0.7488769904,0.7490610344,0.7467333133,0.7465220605,0.7465220605,0.7465220605,0.7629276186,0.7629276186,0.7629276186
243,0.6,0,urn:mavedb:00000057-c-1,0.7143997186,0.6850500637,0.6392124586,0.6396453471,0.6420515133,0.6571494643,0.6806627836,0.668826033,0.6685559482,0.6523275126,0.4510934884,0.4510934884,0.4455485017,0.5622392661,0.5622392661,0.5945005865
137,0.6,0,urn:mavedb:00000058-a-1,0.9391237077,0.8914523927,0.9151063065,0.8851257406,0.5669229007,0.6349449851,0.8925597297,,0.9016250127,,0.7359216283,0.771470421,0.771470421,0.7879315337,0.8300934145,0.8300934145
226,0.6,0,urn:mavedb:00000068-b-1,0.7358051655,0.7120173568,0.6872162929,0.6667719671,0.6940908912,0.6747156735,0.7560836651,0.7321092192,0.7414871306,0.711156112,0.6975609492,0.6975609492,0.6975609492,0.7194466463,0.7194466463,0.7194466463
609,0.6,0,urn:mavedb:00000068-c-1,0.8015527728,0.7720477102,0.7327349451,0.7308981591,0.7246067493,0.7423861446,0.833154972,0.8100166014,0.8208783731,0.801908622,0.6364877613,0.6364877613,0.6360044427,0.6935782175,0.6935782175,0.6931440062
1090,0.6,0,urn:mavedb:00000096-a-1,0.6603088512,0.6298545933,0.6059332383,0.6039459946,0.6247076728,0.6024990181,0.6776551823,0.6697460962,0.6555717755,0.6659217444,0.5571603051,0.5571603051,0.5571603051,0.5969521194,0.5969521194,0.5969521194
601,0.6,0,urn:mavedb:00000106-a-1,0.004310313404,0.05414678504,0.1095826259,-0.08411135334,-0.05828637516,-0.0791668726,0.6629341284,-0.1942784499,0.6590936145,-0.1942784499,0.1316457324,0.1316457324,0.1316457324,0.9094465032,0.9094465032,0.9094465032
